Foto,Nama Wisata,Kategori,Jalan,Desa/Kelurahan,Kecamatan,Kabupaten/Kota,Provinsi,Kode Pos,Kontak,X,Y
,Pesona Desa Cipelah,Alam,,Cipelah,Rancabali,Kabupaten Bandung,Jawa Barat,,83822889826,107.2642252,-7.2009874
,Ciherang Riverside Rancabali Campground,Alam,,Cipelah,Rancabali,Kabupaten Bandung,Jawa Barat,,81313411590,107.2873706,-7.1845629
,Kebun Kopi,Alam,,Cibuni,Sukaresmi,Rancabali,Kabupaten Bandung,Jawa Barat,,,107.3166001,-7.201544
,Kebon Pinus,Alam,,Cipelah,Rancabali,Kabupaten Bandung,Jawa Barat,,,107.3166001,-7.201544
,Kampung Cipuspa,Alam,,Sukaresmi,Rancabali,Kabupaten Bandung,Jawa Barat,,,107.3403799,-7.204632
,Spot Teletubies,Alam,Unnamed Road,Sukaresmi,Rancabali,Kabupaten Bandung,Jawa Barat,,,107.3600843,-7.2021206
,Spot Swiss Cibuni,Alam,,Sukaresmi,Rancabali,Kabupaten Bandung,Jawa Barat,,,107.3542767,-7.1996679
,Negeri Diatas Awan Rancabali,Alam,Unnamed Road,Sukaresmi,Rancabali,Kabupaten Bandung,Jawa Barat,,81277439444,107.3567571,-7.2267411
,Kelok Sarebu,Alam,,Sukaresmi,Rancabali,Kabupaten Bandung,Jawa Barat,,,107.3567571,-7.2267411
,Wisata Kebun Rasmala,Alam,Jl. Cikadu,Sukaresmi,Rancabali,Kabupaten Bandung,Jawa Barat,40973,,107.3524656,-7.2270817
,Camping Ground Nyampay,Alam,Camping ground Nyampay,Indragiri,Rancabali,Kabupaten Bandung,Jawa Barat,,83863817257,107.3344405,-7.1512621
,Ranca Upas Ciwidey,Alam,Jl. Camp Ranca Upas,Patengan,Rancabali,Kabupaten Bandung,Jawa Barat,,81359569984,107.3344405,-7.1512621
,Kawah Putih,Alam,Jl. Ciwidey Patengan Km 11 Lebakmuncang,Sugihmukti,Pasirjambu,Kabupaten Bandung,Jawa Barat,,81220068486,107.3820906,-7.1545302
,Bukit Jamur Rancabolang Pasirjambu,Alam,,Sugihmukti,Pasirjambu,Kabupaten Bandung,Jawa Barat,,,107.4091089,-7.1847428
,Kebun Teh Rancabolang,Alam,,Sugihmukti,Pasirjambu,Kabupaten Bandung,Jawa Barat,,,107.4091089,-7.1847428
,Curug Siliwangi Cihejo,Alam,,Sugihmukti,Pasirjambu,Kabupaten Bandung,Jawa Barat,,,107.427485,-7.1722167
,Curug Cipanji,Alam,,Margamulya,Pasirjambu,Kabupaten Bandung,Jawa Barat,,89618712789,107.4296474,-7.1571982
,Perkebunan Teh Dewata,Alam,,Sugihmukti,Pasirjambu,Kabupaten Bandung,Jawa Barat,40972,,107.4681949,-7.217465
,Sunrise Point Cukul,Alam,Jl. Cukul,Sukaluyu,Pangalengan,Kabupaten Bandung,Jawa Barat,40378,,107.4904417,-7.2100436
,WARA'AS,Alam,,Warnasari,Pangalengan,Kabupaten Bandung,Jawa Barat,40378,81312856926,107.4904417,-7.2100436
,Taman Langit Pangalengan (Sunrise Point & Camping Ground),Alam,Kp. Puncak Mulya, Sukaluyu,Pangalengan,Kabupaten Bandung,Jawa Barat,40378,8112131220,107.5087296,-7.2269058
,Epic view.pujasp,Alam,Jl. Talegong,Sukaluyu,Pangalengan,Kabupaten Bandung,Jawa Barat,40378,,107.521685,-7.2461127
,Cukul Atas,Alam,Jl. Cukul,Sukaluyu,Pangalengan,Kabupaten Bandung,Jawa Barat,40378,,107.527192,-7.248279
,Cukul Campsite,Alam,Jl. Cukul,Sukaluyu,Pangalengan,Kabupaten Bandung,Jawa Barat,40378,85974779204,107.5304431,-7.2345302
,Curug Congeang,Alam,,Sukaluyu,Pangalengan,Kabupaten Bandung,Jawa Barat,40378,,107.5230995,-7.2459582
,Curug Muara Pangalengan,Alam,,Margaluyu,Pangalengan,Kabupaten Bandung,Jawa Barat,40378,,107.5416644,-7.2517398
,Air Terjun Leutik,Alam,,Margaluyu,Pangalengan,Kabupaten Bandung,Jawa Barat,40378,,107.5435184,-7.2512887
,Curug Cilaki Pangalengan,Alam,,Margaluyu,Pangalengan,Kabupaten Bandung,Jawa Barat,40378,,107.5556221,-7.242856
,Kedaton Bukit Panyawangan Pangalengan,Alam,Jl. Cukul,Sukaluyu,Pangalengan,Kabupaten Bandung,Jawa Barat,40378,82127354855,107.5326605,-7.23396
,Situ Datar Buana,Alam,Perkebunan Jl. Pasir Malang,Margaluyu,Pangalengan,Kabupaten Bandung,Jawa Barat,40378,,107.5253079,-7.2208771
,Wanasari Campingground,Alam,,Warnasari,Pangalengan,Kabupaten Bandung,Jawa Barat,40378,85659531196,107.5076392,-7.1953896
,C-Rafting Pangalengan,Alam,Jl. Situ Cileunca No.KM. 4,Sukamanah,Pangalengan,Kabupaten Bandung,Jawa Barat,40378,,107.5161689,-7.192871
,Situ Cileunca Pangalengan Bandung,Alam,Jl. Situ Cileunca No.19,Pulosari,Pangalengan,Kabupaten Bandung,Jawa Barat,40378,85318888668,107.5304866,-7.1934754
,Situ Cileunca Camping,Alam,,Pulosari,Pangalengan,Kabupaten Bandung,Jawa Barat,40378,85727901825,107.5365792,-7.1991171
,Nusa Manona,Alam,,Cieurih,Pangalengan,Kabupaten Bandung,Jawa Barat,,82151150997,107.5614172,-7.2021585
,NIMO Highland,Alam,,Banjarsari,Pangalengan,Kabupaten Bandung,Jawa Barat,40378,81120060980,107.5774278,-7.2203304
,Nimo Eye,Alam,,Banjarsari,Pangalengan,Kabupaten Bandung,Jawa Barat,40378,81120060980,107.5754506,-7.2217487
,Teh Jangkung Malabar,Alam,,Banjarsari,Pangalengan,Kabupaten Bandung,Jawa Barat,40378,82120360713,107.5768677,-7.2176945
,Kebun Teh Pangalengan,Alam,Jl. Babakan No.2,Banjarsari,Pangalengan,Kabupaten Bandung,Jawa Barat,40378,,107.5768677,-7.2176945
,Curug Banjarsari,Alam,Unnamed Road,Banjarsari,Pangalengan,Kabupaten Bandung,Jawa Barat,40378,,107.5765231,-7.2329651
,Curug Cilaki Luhur,Alam,,Banjarsari,Pangalengan,Kabupaten Bandung,Jawa Barat,40378,,107.5765231,-7.2329651
,Wayang windu Panenjoan,Alam,,Banjarsari,Pangalengan,Kabupaten Bandung,Jawa Barat,40378,85333339048,107.6110938,-7.2164107
,Kawah Wayang,Alam,,Sukamanah,Pangalengan,Kabupaten Bandung,Jawa Barat,40378,881024000000,107.6168452,-7.2143652
,Kolam Air Panas Sukaratu Pangalengan,Alam,,Banjarsari,Pangalengan,Kabupaten Bandung,Jawa Barat,40378,,107.6138327,-7.2079999
,Wisata Hutan Pinus PAKAWA (Paniisan Karuhun Wa Hyang),Alam,Jl. Raya Pajaten,Tarumajaya,Kertasari,Kabupaten Bandung,Jawa Barat,40386,82121390539,107.6446518,-7.2218202
,Bukit Paesan,Alam,Kp.Citawa,Tarumajaya,Kertasari,Kabupaten Bandung,Jawa Barat,40386,82128491866,107.642619,-7.2370171
,Situ Datar Buana,Alam,Perkebunan Jl. Pasir Malang,Margaluyu,Pangalengan,Kabupaten Bandung,Jawa Barat,40378,,107.5553866,-7.2066807
,Nuansa Riung gunung Pangalengan,Alam,,Riunggunung,Pulosari,Pangalengan,Kabupaten Bandung,Jawa Barat,40378,81294411209,107.5321445,-7.1574396
,Hutan Pinus Rahong,Alam,,Pulosari,Pangalengan,Kabupaten Bandung,Jawa Barat,40378,,107.5303002,-7.1707614
,Wisata Gunung Puntang,Alam,Gunung Puntang Desa,Pasirmulya,Banjaran,Kabupaten Bandung,Jawa Barat,40374,81224320001,107.5850699,-7.1457375
,Arjasari Rock Hills,Alam,Jl. Wargaluyu,Wargaluyu,Arjasari,Kabupaten Bandung,Jawa Barat,40379,82320209120,107.5987991,-7.0296773
,Wisata Alam Cileuweung,Alam,kp.ciruntah,Tribaktimulya,Pangalengan,Kabupaten Bandung,Jawa Barat,40378,,107.4410681,-7.1488209
,WISATA ALAM SUNGAI CITALUTUG | DESA WISATA BAROS,Alam,Kp cibayongbong,Baros,Arjasari,Kabupaten Bandung,Jawa Barat,40379,85294087746,107.5467254,-7.0636088
,Curug Roda,Alam,Cipatat Suka Sima,Mekarjaya,Pacet,Kabupaten Bandung,Jawa Barat,40385,,107.583093,-7.0737754
,Curug Eti,Alam,,Loa,Paseh,Kabupaten Bandung,Jawa Barat,40383,,107.6240707,-7.0841958
,Mata Air Campaka,Alam,,Drawati,Paseh,Kabupaten Bandung,Jawa Barat,40383,,107.5702614,-7.0688721
,Curug akub,Alam,Curug,Wargamekar,Baleendah,Kabupaten Bandung,Jawa Barat,40375,83820092808,107.59849,-7.0490921
